Company Name,Address,Phone,Website,Categories,Association,Guide State,Existing Provider Match,Source URLs,Research Status,Description
"High Point Construction Group, LLC","Post Office Box 577, Buckhannon, WV 26201",(304) 472-5595,http://highpointwv.com,Oilfield Construction / Contractors; Equipment Rental / Repairs; Oilfield Trucking,West Virginia oil and gas industry buyers guide,WV,,https://www.wvoilgasbuyersguide.com/listing.php?listing_id=750002896&company_name=High+Point+Construction+Group%2C+LLC,Association guide discovery — verify current operations and oil/gas fit against company source,"Contractor specializing in well pad construction, access road construction, production piping, and equipment installation, frac assist, equipment rental, secondary containment, well pad liners, and oil field trucking."
Hog Lick Aggregates Llc,"340 Hog Lick Hollow, Fairmont, WV 26554",(681) 209-8425,,Aggregate Suppliers,West Virginia oil and gas industry buyers guide,WV,,https://www.wvoilgasbuyersguide.com/listings.php?section_id=%25&cat=Construction&scat=Aggregate+Suppliers&num=100,Association guide discovery — verify current operations and oil/gas fit against company source,
Hope Gas,"781 Chestnut Ridge Road, Morgantown, WV 26505",(804) 787-6167,,Gas Processing,West Virginia oil and gas industry buyers guide,WV,,https://www.wvoilgasbuyersguide.com/listings.php?section_id=%25&cat=Gas&scat=Gas+Processing&num=100,Association guide discovery — verify current operations and oil/gas fit against company source,
"Hydrocarbon Well Services, Inc.","Post Office Box 995, Buckhannon, WV 26201",(304) 472-9600,,Well Services,West Virginia oil and gas industry buyers guide,WV,,https://www.wvoilgasbuyersguide.com/listings.php?section_id=%25&cat=Professional+Services&scat=Well+Services&num=100,Association guide discovery — verify current operations and oil/gas fit against company source,
Ingevity,"4920 O'Hear Avenue, Suite 400, North Charleston, SC 29405",(864) 901-1428,,Equipment Supply / Manufacturer,West Virginia oil and gas industry buyers guide,WV,,https://www.wvoilgasbuyersguide.com/listings.php?section_id=%25&cat=Equipment+%26+Supplies&scat=Equipment+Supply+%2F+Manufacturer&num=100,Association guide discovery — verify current operations and oil/gas fit against company source,
Integrity Kokosing,"Post Office Box 225, Fredericktown, OH 43019",(740) 694-6880,,Pipeline Construction,West Virginia oil and gas industry buyers guide,WV,,https://www.wvoilgasbuyersguide.com/listings.php?section_id=%25&cat=Construction&scat=Pipeline+Construction&num=100,Association guide discovery — verify current operations and oil/gas fit against company source,
"Integrity Kokosing Pipeline Services, LLC","17531 Waterford Road, Fredericktown, OH 43019",(740) 848-4919,http://www.Integritykokosing.com,Pipeline Construction,West Virginia oil and gas industry buyers guide,WV,,https://www.wvoilgasbuyersguide.com/listing.php?listing_id=750002959&company_name=Integrity+Kokosing+Pipeline+Services%2C+LLC,Association guide discovery — verify current operations and oil/gas fit against company source,"Any and all pipeline Construction: Water pipelines Intake structures Cathodic protection systems Compressor stations Facility work Well hook-ups Tanks Containments, Etc. Pipeline Maintenance and Repairs Integrity Management"
"InTerraChem, Inc.","57 Pepperbush Lane, Fairmont, WV 26554",(814) 858-3147,,Equipment Supply / Manufacturer,West Virginia oil and gas industry buyers guide,WV,,https://www.wvoilgasbuyersguide.com/listings.php?section_id=%25&cat=Equipment+%26+Supplies&scat=Equipment+Supply+%2F+Manufacturer&num=100,Association guide discovery — verify current operations and oil/gas fit against company source,
J.F. Allen Company,"P.O. Box 2049, Buckhannon, WV 26201",(304) 614-2986,http://jfallenco.com,Environmental Construction; Oilfield Construction / Contractors; Road Construction / Repair; Limestone Supplier,West Virginia oil and gas industry buyers guide,WV,,https://www.wvoilgasbuyersguide.com/listing.php?listing_id=750003059&company_name=J.F.+Allen+Company,Association guide discovery — verify current operations and oil/gas fit against company source,"JF Allen Company has been providing top-of-the-line construction services for nearly 70 years, ranging from Excavation, Road Construction, Hot-Mix Asphalt Paving, Utility Installation, Site Preparation & Development, Pad and Impoundment"
J.F. Allen Company,"Post Office Box 2049, Buckhannon, WV 26201",(304) 614-2986,,Environmental Construction; Oilfield Construction / Contractors; Road Construction / Repair; Limestone Supplier,West Virginia oil and gas industry buyers guide,WV,,https://www.wvoilgasbuyersguide.com/listings.php?section_id=%25&cat=Construction&scat=Environmental+Construction&num=100; https://www.wvoilgasbuyersguide.com/listings.php?section_id=%25&cat=Construction&scat=Oilfield+Construction+%2F+Contractors&num=100; https://www.wvoilgasbuyersguide.com/listings.php?section_id=%25&cat=Construction&scat=Road+Construction+%2F+Repair&num=100; https://www.wvoilgasbuyersguide.com/listings.php?section_id=%25&cat=Equipment+%26+Supplies&scat=Limestone+Supplier&num=100,Association guide discovery — verify current operations and oil/gas fit against company source,
"Jackson Kelly, PLLC","500 Lee Street East, Suite 1600, Charleston, WV 25301",(304) 340-1000,http://www.jacksonkelly.com,Environmental Law; Safety and Health Law,West Virginia oil and gas industry buyers guide,WV,,https://www.wvoilgasbuyersguide.com/listing.php?listing_id=660002286&company_name=Jackson+Kelly%2C+PLLC,Association guide discovery — verify current operations and oil/gas fit against company source,"Jackson Kelly PLLC is a national law firm representing leading global corporations, national companies, entrepreneurs and individuals in areas of law such as environmental, business, labor and employment,..."
"Jackson Kelly, PLLC","Post Office Box 553, Charleston, WV 25322",(304) 340-1258,,Environmental Law; Safety and Health Law,West Virginia oil and gas industry buyers guide,WV,,https://www.wvoilgasbuyersguide.com/listings.php?section_id=%25&cat=Legal+Services&scat=Environmental+Law&num=100; https://www.wvoilgasbuyersguide.com/listings.php?section_id=%25&cat=Legal+Services&scat=Safety+and+Health+Law&num=100,Association guide discovery — verify current operations and oil/gas fit against company source,
L. A. Gates Company,,,http://www.lagates.com,Environmental Services,West Virginia oil and gas industry buyers guide,WV,,https://www.wvoilgasbuyersguide.com/listing.php?listing_id=660002306&company_name=L.+A.+Gates+Company,Association guide discovery — verify current operations and oil/gas fit against company source,"L.A. Gates Company is a full-service professional engineering firm providing comprehensive solutions in Natural Gas Compression, Measurement, and Pipeline Engineering, Civil and Structural Engineering, Commissioning, Environmental Engineering,..."
"Law Office of Philip A. Reale, PLLC","2220 Washington St E, Suite 1, Charleston, WV 25311",(304) 444-9329,,Safety and Health Law,West Virginia oil and gas industry buyers guide,WV,,https://www.wvoilgasbuyersguide.com/listings.php?section_id=%25&cat=Legal+Services&scat=Safety+and+Health+Law&num=100,Association guide discovery — verify current operations and oil/gas fit against company source,
Leslie Equipment Company,"19 Goff Crossing Drive, Cross Lanes, WV 25313",(304) 204-1818,,Equipment Rental / Repairs; Generator Sales / Rental / Service; Production Equipment Sales and Service,West Virginia oil and gas industry buyers guide,WV,,https://www.wvoilgasbuyersguide.com/listings.php?section_id=%25&cat=Equipment+%26+Supplies&scat=Equipment+Rental+%2F+Repairs&num=100; https://www.wvoilgasbuyersguide.com/listings.php?section_id=%25&cat=Equipment+Sales%2F+Rentals&scat=Generator+Sales+%2F+Rental+%2F+Service&num=100; https://www.wvoilgasbuyersguide.com/listings.php?section_id=%25&cat=Equipment+Sales%2F+Rentals&scat=Production+Equipment+Sales+and+Service&num=100,Association guide discovery — verify current operations and oil/gas fit against company source,
Leslie Equipment Company,"6248 Webster Road, Cowen, WV 26206",(888) 694-4695,http://www.lec1.com/,Equipment Rental / Repairs; Generator Sales / Rental / Service; Production Equipment Sales and Service,West Virginia oil and gas industry buyers guide,WV,,https://www.wvoilgasbuyersguide.com/listing.php?listing_id=780000614&company_name=Leslie+Equipment+Company,Association guide discovery — verify current operations and oil/gas fit against company source,"Leslie Equipment Company is a full line John Deere Construction and Forestry Dealer with locations in West Virginia, Ohio and Kentucky. Leslie Equipment has 8 Full service locations that..."
Lewis Gianola PLLC,"300 Summers Street, Suite 700, Charleston, WV 25301",(304) 345-2000,http://www.lewisgianola.com,Environmental Law; Safety and Health Law,West Virginia oil and gas industry buyers guide,WV,,https://www.wvoilgasbuyersguide.com/listing.php?listing_id=780000625&company_name=Lewis+Gianola+PLLC,Association guide discovery — verify current operations and oil/gas fit against company source,Lewis Gianola's over 50-year history of providing legal services throughout West Virginia and Ohio has strong roots in the experience and traditions of our region. Lewis Gianola is...
Lewis Gianola PLLC,"Post Office Box 1746, Charleston, WV 25326",(304) 550-5733,,Environmental Law; Safety and Health Law,West Virginia oil and gas industry buyers guide,WV,,https://www.wvoilgasbuyersguide.com/listings.php?section_id=%25&cat=Legal+Services&scat=Environmental+Law&num=100; https://www.wvoilgasbuyersguide.com/listings.php?section_id=%25&cat=Legal+Services&scat=Safety+and+Health+Law&num=100,Association guide discovery — verify current operations and oil/gas fit against company source,
"Martin Marietta Materials, Inc.","1601 Grand Central Avenue, Suite 10, Vienna, WV 26105",(304) 679-9078,http://www.martinmarietta.com,Oilfield Construction / Contractors; Pipeline Construction; Road Construction / Repair,West Virginia oil and gas industry buyers guide,WV,,https://www.wvoilgasbuyersguide.com/listing.php?listing_id=750002895&company_name=Martin+Marietta+Materials%2C+Inc.,Association guide discovery — verify current operations and oil/gas fit against company source,"Martin Marietta offers high-quality limestone, sand, and gravel with yards in Charleston, Institute, Parkersburg, Burning Springs/US RT 50, and New Martinsville WV. Sales by truck or barge available."
"Mason Dixon Energy Services, LLC","4115 Dragon Highway, Suite 1, Cameron, WV 26033",(304) 686-2010,http://www.masondixonenergyservices.com,Environmental Construction; Pipeline Maintenance; Road Construction / Repair; Trucking Services,West Virginia oil and gas industry buyers guide,WV,,https://www.wvoilgasbuyersguide.com/listing.php?listing_id=750003011&company_name=Mason+Dixon+Energy+Services%2C+LLC,Association guide discovery — verify current operations and oil/gas fit against company source,"Mason Dixon Energy Services, LLC was established in January of 2018 with the purpose of providing best in class pipeline maintenance services, tactical style projects, and other operational support..."
Matheny Motors,"Post Office Box 1304, Parkersburg, WV 26102",(304) 485-4418,http://www.mathenymotors.com/,Oilfield Trucking; Trucking Services; Wireline and Logging Services,West Virginia oil and gas industry buyers guide,WV,,https://www.wvoilgasbuyersguide.com/listing.php?listing_id=660002593&company_name=Matheny+Motors,Association guide discovery — verify current operations and oil/gas fit against company source,"The Matheny Motors dealership has locations in Parkersburg, WV; Nitro, WV; Kenova, WV; Marietta, OH; Mineral Wells, WV; and Woodbridge, Virginia. Our tradition of excellence started in 1922 and..."
"Matthews Lubricants, Inc.","17 Route 50 West, Clarksburg, WV 26302",(304) 623-3361,,Chemical Supplies,West Virginia oil and gas industry buyers guide,WV,,https://www.wvoilgasbuyersguide.com/listing.php?listing_id=1050004667&company_name=Matthews+Lubricants%2C+Inc.,Association guide discovery — verify current operations and oil/gas fit against company source,"Built on a solid foundation of petroleum-related enterprises, Matthews Lubricants specializes in the manufacturing and distribution of petroleum-related products to commercial and industrial marketplaces with an emphasis on..."
Meadows Well Service LLC,"45 Meadows Drive, Ravenswood, WV 26164",(304) 532-8123,,Well Services,West Virginia oil and gas industry buyers guide,WV,,https://www.wvoilgasbuyersguide.com/listings.php?section_id=%25&cat=Professional+Services&scat=Well+Services&num=100,Association guide discovery — verify current operations and oil/gas fit against company source,
Miller Pipeline,"8850 Crawfordsville Road, Indianapolis, IN 46234",(317) 293-0278,,Pipeline Integrity,West Virginia oil and gas industry buyers guide,WV,,https://www.wvoilgasbuyersguide.com/listings.php?section_id=%25&cat=Regulatory&scat=Pipeline+Integrity&num=100,Association guide discovery — verify current operations and oil/gas fit against company source,
Miller Supply of WV,"26270 State Route 7, Marietta, OH 45750",(740) 350-3688,,Production Equipment Sales and Service,West Virginia oil and gas industry buyers guide,WV,,https://www.wvoilgasbuyersguide.com/listings.php?section_id=%25&cat=Equipment+Sales%2F+Rentals&scat=Production+Equipment+Sales+and+Service&num=100,Association guide discovery — verify current operations and oil/gas fit against company source,
Miller Supply of WV,"Weston, WV 26452",(304) 269-3850,http://www.kenmillersupply.com,Production Equipment Sales and Service,West Virginia oil and gas industry buyers guide,WV,,https://www.wvoilgasbuyersguide.com/listing.php?listing_id=660002277&company_name=Miller+Supply+of+WV,Association guide discovery — verify current operations and oil/gas fit against company source,"Ken Miller Supply, Inc. operates a chain of ""full service"" Oilfield Supply Stores, with 6 locations in the Appalachian Basin. Searching for Oil Country Tubular Goods, We're the place..."
Morain Sales & Services Inc.,"1217 Salt Springs Road, Mineral Ridge, OH 44440",(330) 652-8448,http://www.morainsales.com,Equipment Rental / Repairs; PE Fusion Equipment,West Virginia oil and gas industry buyers guide,WV,,https://www.wvoilgasbuyersguide.com/listing.php?listing_id=660002524&company_name=Morain+Sales+%26+Services+Inc.,Association guide discovery — verify current operations and oil/gas fit against company source,We Specialize in equipment for PE Pipe. McElroy Fusion Equipment Sales & Rentals. Contacts: Pat - pat@morainsales.com Tina Whiteman - Tina@Morainsales.com
Morris Mountaineer Mineral Management,"121 Steele Street, Bridgeport, WV 26330",(304) 997-0652,,Crude Oil Buyer and Transporter,West Virginia oil and gas industry buyers guide,WV,,https://www.wvoilgasbuyersguide.com/listings.php?section_id=%25&cat=Transportation&scat=Crude+Oil+Buyer+and+Transporter&num=100,Association guide discovery — verify current operations and oil/gas fit against company source,
"Noah Horn Well Drilling, Inc","Post Office Box 269, Vansant, VA 24656",(276) 935-5902,,Well Services,West Virginia oil and gas industry buyers guide,WV,"Noah Horn Well Drilling, Inc.",https://www.wvoilgasbuyersguide.com/listings.php?section_id=%25&cat=Professional+Services&scat=Well+Services&num=100,Association guide discovery — verify current operations and oil/gas fit against company source,
Northrup Equipment Co.,"Post Office Box 1461, Beverly, OH 45715",(741) 410-1007,,Oilfield Construction / Contractors; Equipment Supply / Manufacturer; Production Equipment Sales and Service; Oilfield Products; Oilfield Services; Equipment Rental / Repairs,West Virginia oil and gas industry buyers guide,WV,,https://www.paoilgasbuyersguide.com/listings.php?section_id=%25&cat=Construction&scat=Oilfield+Construction+%2F+Contractors&num=100; https://www.paoilgasbuyersguide.com/listings.php?section_id=%25&cat=Equipment+%26+Supplies&scat=Equipment+Supply+%2F+Manufacturer&num=100; https://www.paoilgasbuyersguide.com/listings.php?section_id=%25&cat=Equipment+Sales&scat=Production+Equipment+Sales+and+Service&num=100; https://www.paoilgasbuyersguide.com/listings.php?section_id=%25&cat=Professional+Services&scat=Oilfield+Products&num=100; https://www.paoilgasbuyersguide.com/listings.php?section_id=%25&cat=Professional+Services&scat=Oilfield+Services&num=100; https://www.wvoilgasbuyersguide.com/listings.php?section_id=%25&cat=Equipment+%26+Supplies&scat=Equipment+Rental+%2F+Repairs&num=100,Association guide discovery — verify current operations and oil/gas fit against company source,
"Open Range Resources, LLC","14645 WV RT 18 S, New Milton, WV 26411",(304) 629-2293,,Environmental Construction; Road Construction / Repair,West Virginia oil and gas industry buyers guide,WV,,https://www.wvoilgasbuyersguide.com/listing.php?listing_id=750003611&company_name=Open+Range+Resources%2C+LLC,Association guide discovery — verify current operations and oil/gas fit against company source,"Established in 2017 by Levi Hinterer, Open Range Resources is based out of New Milton, WV. Open Range Resources early beginnings served the local farmer building fence and water..."
Paragon Integrated Services Group,"688 Chapel Drive, Fombell, PA 16123",(203) 558-3123,,Drilling Services,West Virginia oil and gas industry buyers guide,WV,,https://www.wvoilgasbuyersguide.com/listings.php?section_id=%25&cat=Drilling&scat=Drilling+Services&num=100,Association guide discovery — verify current operations and oil/gas fit against company source,
"Paramount Safety Supplies, LLC","Post Office Box 93, Jane Lew, WV 26378",(304) 918-7730,,Safety Supplies,West Virginia oil and gas industry buyers guide,WV,,https://www.wvoilgasbuyersguide.com/listings.php?section_id=%25&cat=Safety+Supplies&scat=Safety+Supplies&num=100,Association guide discovery — verify current operations and oil/gas fit against company source,
"Perkins Supply, Inc","2966 Northwest TPKE, Pennsboro, WV 26415",(304) 659-3570,,Equipment Rental / Repairs,West Virginia oil and gas industry buyers guide,WV,,https://www.wvoilgasbuyersguide.com/listings.php?section_id=%25&cat=Equipment+%26+Supplies&scat=Equipment+Rental+%2F+Repairs&num=100,Association guide discovery — verify current operations and oil/gas fit against company source,
"Phoenix Diversified Ventures, LLC","2402 Hilltop Road, Presto, PA 15142",(412) 721-8681,,Construction Management Services,West Virginia oil and gas industry buyers guide,WV,,https://www.wvoilgasbuyersguide.com/listings.php?section_id=%25&cat=Construction&scat=Construction+Management+Services&num=100,Association guide discovery — verify current operations and oil/gas fit against company source,
Pipeliners Local 798,"119 Stoffel Road, Elkview, WV 25071",(918) 622-1900,,Pipeline Construction,West Virginia oil and gas industry buyers guide,WV,,https://www.wvoilgasbuyersguide.com/listings.php?section_id=%25&cat=Construction&scat=Pipeline+Construction&num=100,Association guide discovery — verify current operations and oil/gas fit against company source,
Precision Pipeline Equipment,"253 Walnut Street, Houston, PA 15342",(412) 889-5216,,Pipeline Construction,West Virginia oil and gas industry buyers guide,WV,,https://www.wvoilgasbuyersguide.com/listings.php?section_id=%25&cat=Construction&scat=Pipeline+Construction&num=100,Association guide discovery — verify current operations and oil/gas fit against company source,
"Preston Contractors, Inc.","Post Office Box 606, Kingwood, WV 26537",(304) 329-2129,,"Construction Management Services; Oilfield Construction / Contractors; Water Line, Sewer and Storm Drain Construction",West Virginia oil and gas industry buyers guide,WV,,https://www.wvoilgasbuyersguide.com/listings.php?section_id=%25&cat=Construction&scat=Construction+Management+Services&num=100; https://www.wvoilgasbuyersguide.com/listings.php?section_id=%25&cat=Construction&scat=Oilfield+Construction+%2F+Contractors&num=100; https://www.wvoilgasbuyersguide.com/listings.php?section_id=%25&cat=Construction&scat=Water+Line%2C+Sewer+and+Storm+Drain+Construction&num=100,Association guide discovery — verify current operations and oil/gas fit against company source,
PSS Industrial Group,"9397 Sunrise Drive, Cambridge, OH 43725",(740) 432-6681,,Midstream Pipeline,West Virginia oil and gas industry buyers guide,WV,,https://www.wvoilgasbuyersguide.com/listings.php?section_id=%25&cat=Professional+Services&scat=Midstream+Pipeline&num=100,Association guide discovery — verify current operations and oil/gas fit against company source,
Ridge Runner Pipeline Services,"Post Office Box 159, Maidsville, WV 26541",(304) 904-5616,,Pipeline Maintenance; Pipeline Testing & Inspections; Pressure Testing,West Virginia oil and gas industry buyers guide,WV,,https://www.wvoilgasbuyersguide.com/listings.php?section_id=%25&cat=Construction&scat=Pipeline+Maintenance&num=100; https://www.wvoilgasbuyersguide.com/listings.php?section_id=%25&cat=Professional+Services&scat=Pipeline+Testing+%26+Inspections&num=100; https://www.wvoilgasbuyersguide.com/listings.php?section_id=%25&cat=Professional+Services&scat=Pressure+Testing&num=100,Association guide discovery — verify current operations and oil/gas fit against company source,
"Robey Excavating, LLC","Post Office Box 429, Lumberport, WV 26386",(304) 783-4491,,"Oilfield Construction / Contractors; Pipeline Construction; Pipeline Maintenance; Road Construction / Repair; Water Line, Sewer and Storm Drain Construction",West Virginia oil and gas industry buyers guide,WV,,https://www.wvoilgasbuyersguide.com/listing.php?listing_id=1050004860&company_name=Robey+Excavating%2C+LLC,Association guide discovery — verify current operations and oil/gas fit against company source,
Rugged Telemetry,"145 Osborne Drive, Pittston, PA 18640",(973) 446-0799,,Automation,West Virginia oil and gas industry buyers guide,WV,,https://www.wvoilgasbuyersguide.com/listings.php?section_id=%25&cat=Equipment+%26+Supplies&scat=Automation&num=100,Association guide discovery — verify current operations and oil/gas fit against company source,
S2W Contracting,"295 State Rte 1002, Tunkhannock, PA 18657",(570) 836-8362,http://www.s2wcontracting.com,Oilfield Construction / Contractors; Gas Compressors; Gas Field Equipment Repair; Oilfield Services,West Virginia oil and gas industry buyers guide,WV,,https://www.wvoilgasbuyersguide.com/listing.php?listing_id=660002350&company_name=S2W+Contracting,Association guide discovery — verify current operations and oil/gas fit against company source,"S2W specializes in Turbomachinery installation, Gas Compression services, Millwright & Grouting Services Visit us here: http://s2wcontracting.com/index.html"
"Shafer Equipment, Llc","141 Campbells Creek Drive, Charleston, WV 25306",(304) 552-9827,,Equipment Rental / Repairs,West Virginia oil and gas industry buyers guide,WV,,https://www.wvoilgasbuyersguide.com/listings.php?section_id=%25&cat=Equipment+%26+Supplies&scat=Equipment+Rental+%2F+Repairs&num=100,Association guide discovery — verify current operations and oil/gas fit against company source,
Shriver Trucking Co Inc.,"Post Office Box 1171, Weston, WV 26452",(304) 546-4385,,Transportation,West Virginia oil and gas industry buyers guide,WV,,https://www.wvoilgasbuyersguide.com/listings.php?section_id=%25&cat=Transportation&scat=Transportation&num=100,Association guide discovery — verify current operations and oil/gas fit against company source,
"Spirit Energy Services, LLC","Post Office Box 819, Nitro, WV 25143",(304) 989-6016,,Environmental Services; Midstream Pipeline; Environmental Products; Safety Supplies; Oilfield Trucking; Transportation; Trucking Services,West Virginia oil and gas industry buyers guide,WV,,https://www.paoilgasbuyersguide.com/listings.php?section_id=%25&cat=Professional+Services&scat=Environmental+Services&num=100; https://www.paoilgasbuyersguide.com/listings.php?section_id=%25&cat=Professional+Services&scat=Midstream+Pipeline&num=100; https://www.wvoilgasbuyersguide.com/listings.php?section_id=%25&cat=Equipment+%26+Supplies&scat=Environmental+Products&num=100; https://www.wvoilgasbuyersguide.com/listings.php?section_id=%25&cat=Professional+Services&scat=Environmental+Services&num=100; https://www.wvoilgasbuyersguide.com/listings.php?section_id=%25&cat=Safety+Supplies&scat=Safety+Supplies&num=100; https://www.wvoilgasbuyersguide.com/listings.php?section_id=%25&cat=Transportation&scat=Oilfield+Trucking&num=100; https://www.wvoilgasbuyersguide.com/listings.php?section_id=%25&cat=Transportation&scat=Transportation&num=100; https://www.wvoilgasbuyersguide.com/listings.php?section_id=%25&cat=Transportation&scat=Trucking+Services&num=100,Association guide discovery — verify current operations and oil/gas fit against company source,
"Spirit Energy Services, LLC.",,(877) 209-9430,http://www.spiritservices.com,Environmental Products; Environmental Services; Safety Supplies; Oilfield Trucking; Transportation; Trucking Services,West Virginia oil and gas industry buyers guide,WV,,https://www.wvoilgasbuyersguide.com/listing.php?listing_id=750002899&company_name=Spirit+Energy+Services%2C+LLC.,Association guide discovery — verify current operations and oil/gas fit against company source,"Recycling, Disposal, Industrial/Environmental Services, Specializing in Oil & Gas Midstream Operations. Charleston Region TSDFCambridge Region Class II SWIWPittsburgh Region TSDF 4 Plant Road7675 East Pike173"
State Electric Supply Company,"2010 2nd Avenue, Huntington, WV 25703",(304) 840-5209,,Electrical Supply,West Virginia oil and gas industry buyers guide,WV,,https://www.wvoilgasbuyersguide.com/listings.php?section_id=%25&cat=Equipment+%26+Supplies&scat=Electrical+Supply&num=100,Association guide discovery — verify current operations and oil/gas fit against company source,
Steptoe & Johnson PLLC,"400 White Oaks BLVD, Bridgeport, WV 26330",(614) 580-3172,,Environmental Law; Safety and Health Law,West Virginia oil and gas industry buyers guide,WV,,https://www.wvoilgasbuyersguide.com/listing.php?listing_id=750003031&company_name=Steptoe+%26+Johnson+PLLC; https://www.wvoilgasbuyersguide.com/listings.php?section_id=%25&cat=Legal+Services&scat=Environmental+Law&num=100; https://www.wvoilgasbuyersguide.com/listings.php?section_id=%25&cat=Legal+Services&scat=Safety+and+Health+Law&num=100,Association guide discovery — verify current operations and oil/gas fit against company source,
Sub Zero Solutions,"1018 Bracken Lane, Ripley, WV 25271",(304) 531-5987,,Pipeline Maintenance,West Virginia oil and gas industry buyers guide,WV,,https://www.wvoilgasbuyersguide.com/listings.php?section_id=%25&cat=Construction&scat=Pipeline+Maintenance&num=100,Association guide discovery — verify current operations and oil/gas fit against company source,
Superior Appalachian Pipeline LLC,"4000 Town Center BLVD, Suite 220, Canonsburg, PA 15317",(724) 746-6757,,Pipeline Construction,West Virginia oil and gas industry buyers guide,WV,,https://www.wvoilgasbuyersguide.com/listings.php?section_id=%25&cat=Construction&scat=Pipeline+Construction&num=100,Association guide discovery — verify current operations and oil/gas fit against company source,
Top Drilling Corporation,"12864 Staunton TPKE, Smithville, WV 26178",(304) 477-3333,,Drilling Contractors,West Virginia oil and gas industry buyers guide,WV,,https://www.wvoilgasbuyersguide.com/listings.php?section_id=%25&cat=Drilling&scat=Drilling+Contractors&num=100,Association guide discovery — verify current operations and oil/gas fit against company source,
Traymark LLC,"114 Market Street, Suite 200, Roanoke, VA 24011",(304) 238-4873,,"Environmental Construction; Oilfield Construction / Contractors; Pipeline Construction; Pipeline Maintenance; Water Line, Sewer and Storm Drain Construction",West Virginia oil and gas industry buyers guide,WV,,https://www.wvoilgasbuyersguide.com/listings.php?section_id=%25&cat=Construction&scat=Environmental+Construction&num=100; https://www.wvoilgasbuyersguide.com/listings.php?section_id=%25&cat=Construction&scat=Oilfield+Construction+%2F+Contractors&num=100; https://www.wvoilgasbuyersguide.com/listings.php?section_id=%25&cat=Construction&scat=Pipeline+Construction&num=100; https://www.wvoilgasbuyersguide.com/listings.php?section_id=%25&cat=Construction&scat=Pipeline+Maintenance&num=100; https://www.wvoilgasbuyersguide.com/listings.php?section_id=%25&cat=Construction&scat=Water+Line%2C+Sewer+and+Storm+Drain+Construction&num=100,Association guide discovery — verify current operations and oil/gas fit against company source,
TYGART Contracting,"100 Village Drive, Suite 200, Fairmont, WV 26554-7986",(304) 366-5618,https://tygartcontracting.com,Oilfield Construction / Contractors; Pipeline Construction; Oilfield Services,West Virginia oil and gas industry buyers guide,WV,,https://www.wvoilgasbuyersguide.com/listing.php?listing_id=780000716&company_name=TYGART+Contracting,Association guide discovery — verify current operations and oil/gas fit against company source,"TYGART Contracting provides temporary contractor labor, staffing, and manpower services throughout the United States of America. Currently, we have multiple offices in Indiana and West Virginia. Stop paying..."
Union Oil & Gas,"112 Brooks Street, Charleston, WV 25301",(304) 539-6904,,Crude Oil Buyer and Transporter,West Virginia oil and gas industry buyers guide,WV,,https://www.wvoilgasbuyersguide.com/listings.php?section_id=%25&cat=Transportation&scat=Crude+Oil+Buyer+and+Transporter&num=100,Association guide discovery — verify current operations and oil/gas fit against company source,
United Rentals,"573 New Goff MTN Road, Cross Lanes, WV 25313",(304) 208-6389,,Equipment Rental / Repairs,West Virginia oil and gas industry buyers guide,WV,,https://www.wvoilgasbuyersguide.com/listings.php?section_id=%25&cat=Equipment+%26+Supplies&scat=Equipment+Rental+%2F+Repairs&num=100,Association guide discovery — verify current operations and oil/gas fit against company source,
USA Compression,"4000 Town Center Boulevard, Canonsburg, PA 15317",(412) 480-6108,,Gas Compressors,West Virginia oil and gas industry buyers guide,WV,,https://www.wvoilgasbuyersguide.com/listings.php?section_id=%25&cat=Gas&scat=Gas+Compressors&num=100,Association guide discovery — verify current operations and oil/gas fit against company source,
"Utility Energy Services, LLC","1270 Little White Oak Road, Chloe, WV 25235",(304) 373-8091,https://utilityenergyservices.com/,"Construction Management Services; Environmental Construction; Mechanical & Industrial Construction; Oilfield Construction / Contractors; Pipeline Construction; Pipeline Maintenance; Stairs, Platforms, Ladders, Handrail Construction; Water Line, Sewer and Storm Drain Construction; Environmental Products; Equipment Rental / Repairs; Trucking Services",West Virginia oil and gas industry buyers guide,WV,,https://www.wvoilgasbuyersguide.com/listing.php?listing_id=750002796&company_name=Utility+Energy+Services%2C+LLC,Association guide discovery — verify current operations and oil/gas fit against company source,"Headquartered in West Virginia, Utility Energy Services also known as UES is a provider for the oil and gas industry. We commit ourselves to provide the most cost-effective..."
"Valence Drilling Fluids, LLC","47060 Black Walnut Parkway, Woodsfield, OH 43793",(210) 884-6311,,Drilling Contractors,West Virginia oil and gas industry buyers guide,WV,,https://www.wvoilgasbuyersguide.com/listings.php?section_id=%25&cat=Drilling&scat=Drilling+Contractors&num=100,Association guide discovery — verify current operations and oil/gas fit against company source,
Viking Well Service Inc.,"114 Southgate Parkway, Cambridge, OH 43725",(304) 545-7218,,Well Services,West Virginia oil and gas industry buyers guide,WV,,https://www.wvoilgasbuyersguide.com/listings.php?section_id=%25&cat=Professional+Services&scat=Well+Services&num=100,Association guide discovery — verify current operations and oil/gas fit against company source,
